Achievement Boost,Successo Potenziato
Body Resistance,Resistenza Fisica
Charge Boost,Carica Potenziata
Darksight,Scurovisione
Gate Senza,Percepire Varco
Leadership,Comando
Maneuver Boost,Manovra Potenziata
Resilience,Resilienza
Resistance to Electricity,Resistenza all’Elettricità
Resistance to Fire,Resistenza al Fuoco
Resistance to Frost,Resistenza al Gelo
Skipping,Balzo
Soul Resistance,Resistenza Spirituale
Squad Tactics,Squadriglia Tattica
Stamina,Vigore
Strike Boost,Attacco potenziato
Tactical Maneuvering,Manovra Tattica
Toughness,Possanza
